x,y,z,color
18.08.2016,1,0.1,0
19.08.2016,1,0.7,0
23.08.2016,1,0.7,0
24.08.2016,1,0.8,0
25.08.2016,-1,0.4,0
26.08.2016,-1,0.4,0
29.08.2016,1,0.2,0
30.08.2016,-0.8,4.2,0
31.08.2016,1,0.2,0
01.09.2016,-1,0.1,0
02.09.2016,1,0.8,0
05.09.2016,-1,0.1,0
06.09.2016,0,0.3,0
07.09.2016,1,1.5,0
08.09.2016,0,0,0
09.09.2016,-0.6,5.1,0
10.09.2016,-1,0,0
11.09.2016,-1,0.2,0
12.09.2016,-0.1,6.7,0
13.09.2016,0.1,21.8,0
14.09.2016,0,56.2,0
15.09.2016,0.1,113.6,0
16.09.2016,0,87.5,0
17.09.2016,0.4,19.8,0
18.09.2016,0.3,25.8,0
19.09.2016,0,91.4,0
20.09.2016,0,73.5,0
21.09.2016,0.2,42.2,0
22.09.2016,0.2,35.5,0
23.09.2016,0.3,52.5,0
24.09.2016,-0.3,24.2,0
25.09.2016,0.1,11.1,0
26.09.2016,0.1,11.1,0
27.09.2016,0,27.6,0
28.09.2016,0.1,15.2,0
29.09.2016,0.2,18,0
30.09.2016,0.2,6.7,0
01.10.2016,0,0,0
02.10.2016,0,1.7,0
03.10.2016,0.4,29.2,0
04.10.2016,0,13.6,0
05.10.2016,0.3,20.4,0
06.10.2016,0,0,0
07.10.2016,0.8,11.5,0
08.10.2016,0.2,5.1,0
09.10.2016,0,18.7,0
10.10.2016,0.4,10.1,0
11.10.2016,-0.1,11.6,0
12.10.2016,-0.4,6.6,0
13.10.2016,0,0,0
14.10.2016,0,7.5,0
15.10.2016,0.1,3.6,0
16.10.2016,0.2,21.5,0
17.10.2016,0.2,10.1,0
18.10.2016,0.3,24,0
19.10.2016,0.2,11,0
20.10.2016,0.1,31.5,0
21.10.2016,0.5,12.9,0
22.10.2016,-0.2,19.6,0
23.10.2016,0.1,9.4,0
24.10.2016,0,24.1,0
25.10.2016,0.3,9.1,0